15
15
50,48,25,41,53,45,60,38,55,63,57,49,32,46,55
1,0.8,1.5,0.9,1.1,1.4,0.7,1.6,1.3,0.9,1.2,0.6,1.0,0.8,1.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,31,26,29,38,32,40,27,34,42,36,33,28,37,45
0.1,0.125,0.15,0.115,0.165,0.12,0.135,0.11,0.155,0.14,0.145,0.16,0.13,0.125,0.115
60,90,55,30,75,50,70,45,85,40,70,65,80,95,75
380,270,180,300,450,400,320,500,350,420,390,360,430,320,440
280,200,150,190,330,290,210,180,250,300,270,220,240,190,260
300,150,100,250,300,320,230,160,290,320,260,210,220,200,280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,500,400,350,600,480,550,410,520,470,530,520,580,450,490
25,60,55,65,80,70,75,85,50,45,60,55,75,70,65
